seed,DX,D_diff,time,error
12,0.11,0.0,0.7000000000000001,0.38339136052268696
12,0.11,0.0,0.72,0.38320561882696885
12,0.11,0.0,0.74,0.38126286914445406
12,0.11,5.0,0.0,0.41549958866741993
12,0.11,5.0,0.02,0.40824351340375664
12,0.11,5.0,0.04,0.41538248223862784
12,0.11,5.0,0.06,0.4045527447232102
12,0.11,5.0,0.08,0.40140452044044633
12,0.11,5.0,0.1,0.4005099910504541
12,0.11,5.0,0.12,0.3918660171897639
12,0.11,5.0,0.14,0.38883203413951
12,0.11,5.0,0.16,0.3817499692209755
12,0.11,5.0,0.18,0.38014777508702885
12,0.11,5.0,0.2,0.38985434575757766
12,0.11,5.0,0.22,0.39439634781635463
12,0.11,5.0,0.24,0.385232572038189
12,0.11,5.0,0.26,0.3920553095037771
12,0.11,5.0,0.28,0.40185171836726796
12,0.11,5.0,0.3,0.38851388029146094
12,0.11,5.0,0.32,0.39299225610406885
12,0.11,5.0,0.34,0.3885227052186559
12,0.11,5.0,0.36,0.3885517938713948
12,0.11,5.0,0.38,0.392887415983926
12,0.11,5.0,0.4,0.39188515484332814
12,0.11,5.0,0.42,0.39722321663796273
12,0.11,5.0,0.44,0.38968403459130674
12,0.11,5.0,0.46,0.37481633455380386
12,0.11,5.0,0.48,0.3706963034177481
12,0.11,5.0,0.5,0.37551977377023
12,0.11,5.0,0.52,0.3719277087915346
12,0.11,5.0,0.54,0.3684582783713031
12,0.11,5.0,0.56,0.3685855864213006
12,0.11,5.0,0.58,0.37335875292444126
12,0.11,5.0,0.6,0.3740186340888428
12,0.11,5.0,0.62,0.3650925334019227
12,0.11,5.0,0.64,0.35179155714735366
12,0.11,5.0,0.66,0.35062134352902025
12,0.11,5.0,0.68,0.3545150612458408
12,0.11,5.0,0.7000000000000001,0.35706215733807856
12,0.11,5.0,0.72,0.3605183112547131
12,0.11,5.0,0.74,0.36375191963255166
12,0.11,10.0,0.0,0.45492694310216714
12,0.11,10.0,0.02,0.42231376864997283
12,0.11,10.0,0.04,0.40414857000891985
12,0.11,10.0,0.06,0.4000063551185226
12,0.11,10.0,0.08,0.4089865575100739
12,0.11,10.0,0.1,0.4267511969390724
12,0.11,10.0,0.12,0.42831520664614714
12,0.11,10.0,0.14,0.43192382604668456
12,0.11,10.0,0.16,0.4255824296208025
12,0.11,10.0,0.18,0.41919979882523023
12,0.11,10.0,0.2,0.4194527966319344
12,0.11,10.0,0.22,0.4213448942652891
12,0.11,10.0,0.24,0.4159372100562062
12,0.11,10.0,0.26,0.4090900341388221
12,0.11,10.0,0.28,0.40440892084078806
12,0.11,10.0,0.3,0.4015508197552612
12,0.11,10.0,0.32,0.38950902466123705
12,0.11,10.0,0.34,0.39474352114895667
12,0.11,10.0,0.36,0.3982643787555084
12,0.11,10.0,0.38,0.40111530912035626
12,0.11,10.0,0.4,0.40939909694058674
12,0.11,10.0,0.42,0.4066809931222802
12,0.11,10.0,0.44,0.40013141104059563
12,0.11,10.0,0.46,0.3914643525552351
12,0.11,10.0,0.48,0.39613274330769555
12,0.11,10.0,0.5,0.4016692644373084
12,0.11,10.0,0.52,0.40475176296929144
12,0.11,10.0,0.54,0.40175588297278525
12,0.11,10.0,0.56,0.40350696166270705
12,0.11,10.0,0.58,0.3947170663317665
12,0.11,10.0,0.6,0.39285122408105516
12,0.11,10.0,0.62,0.3959720758703001
12,0.11,10.0,0.64,0.4046377643949879
12,0.11,10.0,0.66,0.4014129547575285
12,0.11,10.0,0.68,0.4144704760853294
12,0.11,10.0,0.7000000000000001,0.41170658391201476
12,0.11,10.0,0.72,0.4102196044823805
12,0.11,10.0,0.74,0.4067211822114952
12,0.11,15.0,0.0,0.44210927179123916
12,0.11,15.0,0.02,0.42590859605611
12,0.11,15.0,0.04,0.4020327361583513
12,0.11,15.0,0.06,0.3956413529099615
12,0.11,15.0,0.08,0.3915759434782975
12,0.11,15.0,0.1,0.3939153697185444
12,0.11,15.0,0.12,0.41038803893945747
12,0.11,15.0,0.14,0.3991122195058228
12,0.11,15.0,0.16,0.38536423152688265
12,0.11,15.0,0.18,0.384694606846934
12,0.11,15.0,0.2,0.39705847974356523
12,0.11,15.0,0.22,0.4014882671725187
12,0.11,15.0,0.24,0.3923507906797083
12,0.11,15.0,0.26,0.38557057712040843
12,0.11,15.0,0.28,0.37398410143492594
12,0.11,15.0,0.3,0.36496705990180783
12,0.11,15.0,0.32,0.3769304436550826
12,0.11,15.0,0.34,0.38615457637872497
12,0.11,15.0,0.36,0.381858331658125
12,0.11,15.0,0.38,0.374820814963877
12,0.11,15.0,0.4,0.37563075341351637
12,0.11,15.0,0.42,0.3754273187785647
12,0.11,15.0,0.44,0.36874315888114817
12,0.11,15.0,0.46,0.36972874171634684
12,0.11,15.0,0.48,0.3671122558576761
12,0.11,15.0,0.5,0.367469836036385
12,0.11,15.0,0.52,0.36838708168895823
12,0.11,15.0,0.54,0.37339103851711075
12,0.11,15.0,0.56,0.3871693667777061
12,0.11,15.0,0.58,0.39935109647150235
12,0.11,15.0,0.6,0.39349672744241615
12,0.11,15.0,0.62,0.3979278296560169
12,0.11,15.0,0.64,0.40556694355973616
12,0.11,15.0,0.66,0.4091968537532978
12,0.11,15.0,0.68,0.41083944276646256
12,0.11,15.0,0.7000000000000001,0.40745831190061926
12,0.11,15.0,0.72,0.4016152531546384
12,0.11,15.0,0.74,0.398096416517866
12,0.11,20.0,0.0,0.4437311101795697
12,0.11,20.0,0.02,0.44423692973242396
12,0.11,20.0,0.04,0.455468735751877
12,0.11,20.0,0.06,0.45688761115880583
12,0.11,20.0,0.08,0.4634795162565612
12,0.11,20.0,0.1,0.44568017213280275
12,0.11,20.0,0.12,0.4432458742392204
12,0.11,20.0,0.14,0.4248183405474753
12,0.11,20.0,0.16,0.4217978805894258
12,0.11,20.0,0.18,0.4057317712921835
12,0.11,20.0,0.2,0.41779824632617985
12,0.11,20.0,0.22,0.4148016977779809
12,0.11,20.0,0.24,0.41302600821486124
12,0.11,20.0,0.26,0.4161860009979855
12,0.11,20.0,0.28,0.40856557285162254
12,0.11,20.0,0.3,0.4079375425437984
12,0.11,20.0,0.32,0.41301413387982244
12,0.11,20.0,0.34,0.41323935600925477
12,0.11,20.0,0.36,0.4225137255286871
12,0.11,20.0,0.38,0.4218713075174852
12,0.11,20.0,0.4,0.40873887872930703
12,0.11,20.0,0.42,0.4311079380974618
12,0.11,20.0,0.44,0.44840210681504344
12,0.11,20.0,0.46,0.44347109222476955
12,0.11,20.0,0.48,0.42993478614013036
12,0.11,20.0,0.5,0.4225586534213577
12,0.11,20.0,0.52,0.4494512913223019
12,0.11,20.0,0.54,0.4613215454623138
12,0.11,20.0,0.56,0.43056882440881533
12,0.11,20.0,0.58,0.4243906495507618
12,0.11,20.0,0.6,0.42123062715146675
12,0.11,20.0,0.62,0.40660093394149327
12,0.11,20.0,0.64,0.40828434799241536
12,0.11,20.0,0.66,0.4206035583722079
12,0.11,20.0,0.68,0.4089251047449524
12,0.11,20.0,0.7000000000000001,0.4197531375499195
12,0.11,20.0,0.72,0.42353227763639645
12,0.11,20.0,0.74,0.4157980684568489
12,0.11,25.0,0.0,0.4779956940177326
12,0.11,25.0,0.02,0.45394803452034593
12,0.11,25.0,0.04,0.44770666920745844
12,0.11,25.0,0.06,0.4408338394265657
12,0.11,25.0,0.08,0.4274704601377311
12,0.11,25.0,0.1,0.4204068548713289
12,0.11,25.0,0.12,0.42594508710093976
12,0.11,25.0,0.14,0.44280407783308495
12,0.11,25.0,0.16,0.4492609350370129
12,0.11,25.0,0.18,0.44097193647619437
12,0.11,25.0,0.2,0.44031177265528004
12,0.11,25.0,0.22,0.44593222270987837
12,0.11,25.0,0.24,0.44533506510467435
12,0.11,25.0,0.26,0.4422351014200503
12,0.11,25.0,0.28,0.4364846256441431
12,0.11,25.0,0.3,0.42437692500976715
12,0.11,25.0,0.32,0.4184035692588164
12,0.11,25.0,0.34,0.4295999866703303
12,0.11,25.0,0.36,0.42629841570917915
12,0.11,25.0,0.38,0.4185237105462661
12,0.11,25.0,0.4,0.4185977666855609
12,0.11,25.0,0.42,0.41755502333335226
12,0.11,25.0,0.44,0.4173120073601419
12,0.11,25.0,0.46,0.4114139263750287
12,0.11,25.0,0.48,0.4275022553809875
12,0.11,25.0,0.5,0.4190309568697688
12,0.11,25.0,0.52,0.4090749927543382
12,0.11,25.0,0.54,0.4040315549817395
12,0.11,25.0,0.56,0.4001383380199984
12,0.11,25.0,0.58,0.41040938413321193
12,0.11,25.0,0.6,0.409882299661426
12,0.11,25.0,0.62,0.41148760557705544
12,0.11,25.0,0.64,0.41313438026072286
12,0.11,25.0,0.66,0.40973830484484575
12,0.11,25.0,0.68,0.41278651609623856
12,0.11,25.0,0.7000000000000001,0.41449584815115775
12,0.11,25.0,0.72,0.4071042505531988
12,0.11,25.0,0.74,0.4085838667131722
12,0.11,30.0,0.0,0.45009330458705604
12,0.11,30.0,0.02,0.44090126804634716
12,0.11,30.0,0.04,0.43417173473249204
12,0.11,30.0,0.06,0.4350369099867376
