p,D,seed,DX,D_diff,time,error
0.0,0.0,12,0.08928571428571427,40.0,0.03,0.37096261987650186
0.0,0.0,12,0.08928571428571427,40.0,0.04,0.3503412698418356
0.0,0.0,12,0.08928571428571427,40.0,0.05,0.3365007986245851
0.0,0.0,12,0.08928571428571427,40.0,0.06,0.32208181050758705
0.0,0.0,12,0.08928571428571427,40.0,0.07,0.30554852103769625
0.0,0.0,12,0.08928571428571427,40.0,0.08,0.30138916165292223
0.0,0.0,12,0.08928571428571427,40.0,0.09,0.2974607748389543
0.0,0.0,12,0.08928571428571427,40.0,0.1,0.29274274583731624
0.0,0.0,12,0.08928571428571427,40.0,0.11,0.28671231321824703
0.0,0.0,12,0.08928571428571427,40.0,0.12,0.2874016240063555
0.0,0.0,12,0.08928571428571427,40.0,0.13,0.2898911268244591
0.0,0.0,12,0.08928571428571427,40.0,0.14,0.27683775020275897
0.0,0.0,12,0.08928571428571427,40.0,0.15,0.28670994872948785
0.0,0.0,12,0.08928571428571427,40.0,0.16,0.2883671367009367
0.0,0.0,12,0.08928571428571427,40.0,0.17,0.2892185217601144
0.0,0.0,12,0.08928571428571427,40.0,0.18,0.285485652903906
0.0,0.0,12,0.08928571428571427,40.0,0.19,0.2771434552988017
0.0,0.0,12,0.08928571428571427,40.0,0.2,0.26681479293095706
0.0,0.0,12,0.08928571428571427,40.0,0.21,0.26142410699837515
0.0,0.0,12,0.08928571428571427,40.0,0.22,0.25933193310860686
0.0,0.0,12,0.08928571428571427,40.0,0.23,0.25640332748872924
0.0,0.0,12,0.08928571428571427,40.0,0.24,0.2665653717493715
0.0,0.0,12,0.08928571428571427,40.0,0.25,0.27125267393280383
0.0,0.0,12,0.08928571428571427,40.0,0.26,0.27375094198991656
0.0,0.0,12,0.08928571428571427,40.0,0.27,0.27354009395926504
0.0,0.0,12,0.08928571428571427,40.0,0.28,0.2730999187799467
0.0,0.0,12,0.08928571428571427,40.0,0.29,0.2670498302110215
0.0,0.0,12,0.08928571428571427,40.0,0.3,0.2680641399272192
0.0,0.0,12,0.08928571428571427,40.0,0.31,0.2653304806476452
0.0,0.0,12,0.08928571428571427,40.0,0.32,0.26272967758197396
0.0,0.0,12,0.08928571428571427,40.0,0.33,0.26067649630160655
0.0,0.0,12,0.08928571428571427,40.0,0.34,0.25442189360204154
0.0,0.0,12,0.08928571428571427,40.0,0.35000000000000003,0.2574588589997332
0.0,0.0,12,0.08928571428571427,40.0,0.36,0.2556469136278815
0.0,0.0,12,0.08928571428571427,40.0,0.37,0.2579733454586233
0.0,0.0,12,0.08928571428571427,40.0,0.38,0.2617889385978118
0.0,0.0,12,0.08928571428571427,40.0,0.39,0.25334710297955804
0.0,0.0,12,0.08928571428571427,40.0,0.4,0.24669696749583478
0.0,0.0,12,0.08928571428571427,40.0,0.41000000000000003,0.2508758523279481
0.0,0.0,12,0.08928571428571427,40.0,0.42,0.25202366177496593
0.0,0.0,12,0.08928571428571427,40.0,0.43,0.24968529316286145
0.0,0.0,12,0.08928571428571427,40.0,0.44,0.24441489868184307
0.0,0.0,12,0.08928571428571427,40.0,0.45,0.24481279012875665
0.0,0.0,12,0.08928571428571427,40.0,0.46,0.24980954536260647
0.0,0.0,12,0.08928571428571427,40.0,0.47000000000000003,0.2516168862486539
0.0,0.0,12,0.08928571428571427,40.0,0.48,0.2428050094020418
0.0,0.0,12,0.08928571428571427,40.0,0.49,0.23695897107722988
0.0,0.0,12,0.08928571428571427,40.0,0.5,0.23665325934380352
0.0,0.0,12,0.08928571428571427,40.0,0.51,0.24694607406250224
0.0,0.0,12,0.08928571428571427,40.0,0.52,0.24750658937229383
0.0,0.0,12,0.08928571428571427,40.0,0.53,0.24290071965690627
0.0,0.0,12,0.08928571428571427,40.0,0.54,0.24138447639130003
0.0,0.0,12,0.08928571428571427,40.0,0.55,0.23925794032828773
0.0,0.0,12,0.08928571428571427,40.0,0.56,0.24009972303942392
0.0,0.0,12,0.08928571428571427,40.0,0.5700000000000001,0.24428315111753748
0.0,0.0,12,0.08928571428571427,40.0,0.58,0.24297013670606232
0.0,0.0,12,0.08928571428571427,40.0,0.59,0.23924028083965898
0.0,0.0,12,0.08928571428571427,40.0,0.6,0.23671220918335353
0.0,0.0,12,0.08928571428571427,40.0,0.61,0.242532933108768
0.0,0.0,12,0.08928571428571427,40.0,0.62,0.2444424309408224
0.0,0.0,12,0.08928571428571427,40.0,0.63,0.24112851267557708
0.0,0.0,12,0.08928571428571427,40.0,0.64,0.2404694433287681
0.0,0.0,12,0.08928571428571427,40.0,0.65,0.2399290171698993
