seed,DX,D_diff,time,error,mean
10,0.2,15.0,0.42,0.2706770074917244,0.291632231048269
10,0.2,15.0,0.44,0.2693489158546952,0.291632231048269
10,0.2,15.0,0.46,0.2595433258209256,0.291632231048269
10,0.2,15.0,0.48,0.2670614132088421,0.291632231048269
10,0.2,15.0,0.5,0.2643952426065195,0.291632231048269
10,0.2,15.0,0.52,0.2623838516978335,0.291632231048269
10,0.2,15.0,0.54,0.264995345447703,0.291632231048269
10,0.2,15.0,0.56,0.2709467482847346,0.291632231048269
10,0.2,15.0,0.58,0.273405640119568,0.291632231048269
10,0.2,15.0,0.6,0.2698322622130007,0.291632231048269
10,0.2,15.0,0.62,0.274496831314192,0.291632231048269
10,0.2,15.0,0.64,0.2708132930554733,0.291632231048269
10,0.2,15.0,0.66,0.2674269730720136,0.291632231048269
10,0.2,15.0,0.68,0.267084249179233,0.291632231048269
10,0.2,15.0,0.7000000000000001,0.2629402237990426,0.291632231048269
10,0.2,15.0,0.72,0.2638782618715029,0.291632231048269
10,0.2,15.0,0.74,0.2590682749527707,0.291632231048269
10,0.2,20.0,0.0,0.3759078636449017,0.3041760527189925
10,0.2,20.0,0.02,0.3791569238075872,0.3041760527189925
10,0.2,20.0,0.04,0.3810622040008783,0.3041760527189925
10,0.2,20.0,0.06,0.3760635763123708,0.3041760527189925
10,0.2,20.0,0.08,0.3462149016573648,0.3041760527189925
10,0.2,20.0,0.1,0.3228550822270382,0.3041760527189925
10,0.2,20.0,0.12,0.3094020688285492,0.3041760527189925
10,0.2,20.0,0.14,0.3023827593551065,0.3041760527189925
10,0.2,20.0,0.16,0.298736247299407,0.3041760527189925
10,0.2,20.0,0.18,0.2927592322439565,0.3041760527189925
